"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"64496305937985536","","","","","2011-05-01 01:08:12 +0000","<a href=""http://seesmic.com/"" rel=""nofollow"">Seesmic</a>","I'm going to be in Victoria for the foreseeable future. Vancouver will have to wait!"
"64449214855385088","","","88563872","183793","2011-04-30 22:01:04 +0000","web","RT @woolstar: Its not .gdbrc, its .gdbinit just to be different."
"64448096226131969","","","","","2011-04-30 21:56:38 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","I would have been happy to debug this if the cause wasn't something I instruct the compiler to warn me about."
"64447810174595072","","","","","2011-04-30 21:55:29 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","Perhaps it's time to transition my little scheme interpreter to llvm."
"64447667861848064","","","","","2011-04-30 21:54:56 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","argh! I failed to include a header so it was assumed that b() return int, not void*. Why was I not warned about the assumed return type? ?_?"
"64433383731761152","","","","","2011-04-30 20:58:10 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","There's no panacea in abstractions, they all leak eventually. Even if you just happen to be the unlucky bastard struck by odd cosmic rays."
"64433029577318400","","","","","2011-04-30 20:56:46 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","And if you really know C you must *at least* have an idea of how the underlying machine works, and cannot be afraid to drop to that level."
"64432530727772160","","","","","2011-04-30 20:54:47 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","If you find weird behaviour in Python/Ruby/whatever and want to debug it you *must* know C or C++."
"64431648808243200","","","","","2011-04-30 20:51:16 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","I'll have to drop down to assembly to debug this one. This is exactly why I claim that a real dev understands *all* layers of abstraction."
"64431296692240385","64430410817474560","53010195","","","2011-04-30 20:49:52 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","@mraleph Doh, I meant `p` of course. thanks"
"64428846723764225","","","64425378097266688","8038312","2011-04-30 20:40:08 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","RT @izs: npm 1.0 is out.
curl http://t.co/Fm0fyVj | sh

This will also clean up any 0.x cruft it finds.

Blog post forthcoming.","http://npmjs.org/install.sh"
"64428600711069696","","","","","2011-04-30 20:39:10 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","C WTF: void a() { void *p = b(); } ... in b() the return value is 0x10020e130 as reported by printf, but x is assigned 0x20e130. ???"
"64425776589701120","64423218370449408","16686076","","","2011-04-30 20:27:56 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","@getify It would be useful for handful of geeks to target browsers via URL, but you have to extend URL format or add hacks to every browser"
"64424500384641025","64423218370449408","16686076","","","2011-04-30 20:22:52 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","@getify That just shifts the inconvenience of not being able to simply click a link from one person to the other."
"64423526358196224","64422882662559744","16686076","","","2011-04-30 20:19:00 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","@getify I think he means a malicious user would spam links around the net and target a specific browser with a known vuln."
"64422074004946944","64421136015953920","16686076","","","2011-04-30 20:13:14 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","@getify And if I want to see what it looks like in Firefox 5 alpha (or whatever) I can follow it anyway."
"64420854863368192","64417532160909312","16686076","","","2011-04-30 20:08:23 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","@getify The thought of people passing around browser specific links makes me cringe though."
"64420657315852288","64417532160909312","16686076","","","2011-04-30 20:07:36 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","@getify what's the value? If any browser wanted a scheme e.g. firefox:// they could just register themselves to handle such URLs with the OS"
"64405955202383872","","","64397298414796801","676363","2011-04-30 19:09:10 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","RT @brianleroux: Got the http://vanjs.no.de client running on iOS and Android. Not as quickly as it could've been..but faster than if yo ..."
"64100216881676288","","","64092295980515328","159946057","2011-04-29 22:54:17 +0000","web","RT @awbjs: jsmirrors post 3: Combining Mirror Facets  http://bit.ly/ivjVA8 #javascript #reflection"
"64063055281131520","64061506337251328","53010195","","","2011-04-29 20:26:37 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","@mraleph Interesting, thanks. Once again I'm amazed at how fast you act on this stuff :)"
"64060589240098816","64059474113077248","53010195","","","2011-04-29 20:16:49 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","@mraleph Ahh, that sheds some light for me. So essentially the props of the wrapper and the wrapped string are combined?"
"64059649451765761","64057437388414976","53010195","","","2011-04-29 20:13:05 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","@mraleph Yup that's right. I just filed issue 1353: https://code.google.com/p/v8/issues/detail?id=1353 Glad to help in any way if I can."
"64052563271630848","","","","","2011-04-29 19:44:55 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","Weird JavaScript bug in v8's generic methods: https://gist.github.com/948901 (article on generic methods: http://j.mp/mMFEWX%0A)"
"64051050222600192","","","64046758556205057","14052205","2011-04-29 19:38:55 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","RT @skylerslade: seeking/scrubbing coming soon to the @Grooveshark #android app ..."
"64038964008452096","63950666820894720","6927562","","","2011-04-29 18:50:53 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","@thomasfuchs es5-shim and http://ejohn.org/blog/javascript-micro-templating/"
"64026238955692033","","","","","2011-04-29 18:00:19 +0000","<a href=""http://seesmic.com/"" rel=""nofollow"">Seesmic</a>","OH: ""Cats out of the closet"""
"64014551271735296","","","","","2011-04-29 17:13:53 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","Fun in node's repl: 'what?'.indexOf)( '?' ... yup, that works. Expressions must get wrapped in parens on the way to eval."
"64006955626274816","","","63997342596087808","88751152","2011-04-29 16:43:42 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","RT @pcwalton: Rust is self-hosting!"
"64000531009511424","63989875975782400","14939200","","","2011-04-29 16:18:10 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","@seancribbs No argument there."
"63988474222608385","63986637134241792","780561","","","2011-04-29 15:30:15 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","@technoweenie @seancribbs Kind of daunting, just have to start small. Could start by porting https://github.com/tautologistics/nodemachine"
"63726265340928001","","","","","2011-04-28 22:08:20 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","Finally got to see the eagle catch a fish! I've been waiting 8 months for that, and it was awesome."
"63535942660669440","","815114","","","2011-04-28 09:32:03 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","@jedschmidt @miksago Sorry scratch that, I ran the wrong benchmark in Opera. However it is way faster at Node1."
"63535456301760512","63533892342251521","815114","","","2011-04-28 09:30:07 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","@jedschmidt @miksago Sounds plausible to me.  Interestingly in Opera 11 all 3 types of prop assignment are roughly == and dom-tree is closer"
"63532892625698816","63532544477495296","14063149","","","2011-04-28 09:19:56 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","@miksago @jedschmidt Implicit coercion carries a heftier penalty than I thought."
"63532729169489920","63532209793011712","4777951","","","2011-04-28 09:19:17 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","@_sjs @miksago @jedschmidt Holy shit! Safari is also crazy fast with the dot assignment."
"63532209793011712","63522047669714944","14063149","","","2011-04-28 09:17:13 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","@miksago @jedschmidt Looks like assignment using a number is slower than using a string as well. http://jsperf.com/property-assignment"
"63525183524315136","","","","","2011-04-28 08:49:18 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","(your) information wants to be free: http://benlog.com/articles/2011/04/28/your-information-wants-to-be-free/ (by @benadida)"
"63493620744994816","63489454563786752","894911","","","2011-04-28 06:43:53 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","@JimRoepcke Thanks, and it has been fun! Been a couple years since I've written much C and there's more typing involved than I remembered."
"63485434478608384","","","63368155631849472","159946057","2011-04-28 06:11:21 +0000","web","RT @awbjs: New post: introspection using jsmirrors http://bit.ly/lUtJPv  #javascript #reflection"
"63485423485337600","","","62656060384739328","159946057","2011-04-28 06:11:19 +0000","web","RT @awbjs: Lastest post: Experimenting with Mirrors for JavaScript.  http://bit.ly/ehbMcG  #javascript #ecmascript"
