"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"86587553888739328","86586578746605568","12510462","","","2011-07-01 00:10:56 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","@ischi We'll see how this pans out in the long run, might end up shooting myself in the foot if my Info.plist gets stale."
"86587282236243968","86586578746605568","12510462","","","2011-07-01 00:09:51 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","@ischi I found a workaround on the web, build the project then copy build/.../Info.plist into your project. Ti will pick it up from then on."
"86586118249787392","","","","","2011-07-01 00:05:13 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","titanium y u no add my ipad icon?! they say a bad dev blames his tools, there's a big assumption there that the tools are always good."
"86498020102914049","86493427272921088","14864447","","","2011-06-30 18:15:09 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","@bryan_kyle Yup. Right now I have none ""free"" but 2.2 GB inactive. If I made a point of closing apps not in use I could trim that down."
"86492633450549248","86486335958958080","14864447","","","2011-06-30 17:53:45 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","@bryan_kyle That's an issue for me too though I would settle for 4. In general 4 - 8 GB of memory is in use on my machine at any given time."
"86482827377512448","86480855094149121","14864447","","","2011-06-30 17:14:47 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","@bryan_kyle The Sandy Bridge CPUs rumoured to be in the new Airs are performant enough for me though. They will be tempting."
"86482576000286720","86480855094149121","14864447","","","2011-06-30 17:13:47 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","@bryan_kyle Rumours say the new chassis is mostly unchanged. If I keep waiting for it to be perfectly tailored for me I'll never get one."
"86479485452558336","","","","","2011-06-30 17:01:30 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","I'll be upset if the MacBook Air isn't redesigned soon. They have to consolidate the ports, the current configuration is terrible."
"86473804586561536","","","86473477049171968","159946057","2011-06-30 16:38:56 +0000","web","RT @awbjs: Offical ECMAScript 5.1 standard is now   at http://bit.ly/EoBu9  #JavaScript"
"86473614387449856","","","86473091127062528","159946057","2011-06-30 16:38:10 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","RT @awbjs: ECMAScript 5.1/ISO 16262 edition 3  is now the offical JavaScript standard http://bit.ly/itRhXR"
"85557573851430912","85556280491638786","894911","","","2011-06-28 03:58:09 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","@JimRoepcke ha ha, it will be if it works out ... mindBLASTING! anything can blow your mind, this will BLAST it"
"85556133791674368","85554883171852288","894911","","","2011-06-28 03:52:26 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","@JimRoepcke Not personally, but yes. Building a few mining rigs at work. Going to try some crazy shit this week!"
"85240787180322816","85211604404285440","22406953","","","2011-06-27 06:59:22 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","@mahyarm That's true. Most 16:9 LCDs are ridiculously cheap :/"
"85047190774480896","","","","","2011-06-26 18:10:05 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","I'm going to reverse my stance and advise everyone to *stop* buying SSDs ... until the prices fall. It's for the greater good!"
"85046987803721729","","","","","2011-06-26 18:09:16 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","This time 2010 a 512 GB SSD ran ~ $1500, now they're under $1000. They'd fall to $500 if the 240 GB drives would make room."
"84435760245248001","84401515753783297","8038312","","","2011-06-25 01:40:28 +0000","<a href=""http://kiwi-app.net"" rel=""nofollow"">Kiwi</a>","@izs Can you specify a save hook? That's what I use in my editor. Failing that there's always a git pre-commit hook."
