example_id                                        | status | run_time        |
------------------------------------------------- | ------ | --------------- |
./spec/posts/metadata_spec.rb[1:1:1]              | passed | 0.00009 seconds |
./spec/posts/metadata_spec.rb[1:1:2]              | passed | 0.00032 seconds |
./spec/posts/metadata_spec.rb[1:1:3]              | passed | 0.00228 seconds |
./spec/posts/repo_spec.rb[1:1:1]                  | passed | 0.00078 seconds |
./spec/posts/repo_spec.rb[1:1:2]                  | passed | 0.01536 seconds |
./spec/utils/frontmatter_converter_spec.rb[1:1:1] | passed | 0.00024 seconds |
./spec/utils/frontmatter_converter_spec.rb[1:1:2] | passed | 0.00003 seconds |
./spec/utils/frontmatter_converter_spec.rb[1:1:3] | passed | 0.00006 seconds |
./spec/utils/frontmatter_converter_spec.rb[1:1:4] | passed | 0.00004 seconds |
./spec/utils/frontmatter_converter_spec.rb[1:1:5] | passed | 0.00004 seconds |
./spec/utils/frontmatter_converter_spec.rb[1:1:6] | passed | 0.00003 seconds |
./spec/utils/frontmatter_converter_spec.rb[1:1:7] | passed | 0.00042 seconds |
./spec/utils/frontmatter_converter_spec.rb[1:1:8] | passed | 0.00013 seconds |
./spec/utils/frontmatter_converter_spec.rb[1:2:1] | passed | 0.00059 seconds |
./spec/utils/frontmatter_converter_spec.rb[1:2:2] | passed | 0.00004 seconds |
